연번,지형지물부호,행정읍면동,법정읍면동,설치일자,소화전형식,주소,경도,위도,데이터기준일자
1,소화전,안산동,수암동,2024-09-10,지상쌍구,경기도 안산시 상록구 수암동 460-2,126.8793588,37.3661245,2026-01-12
2,소화전,부곡동,부곡동,2024-09-10,지상쌍구,경기도 안산시 상록구 부곡동 237-4,126.8726255,37.3422996,2026-01-12
3,소화전,본오1동,본오동,2024-09-10,지상쌍구,경기도 안산시 상록구 본오동 685,126.8678119,37.2862794,2026-01-12
4,소화전,반월동,건건동,2024-09-10,지상쌍구,경기도 안산시 상록구 건건동 275-2,126.8986118,37.3132417,2026-01-12
5,소화전,반월동,건건동,2024-09-10,지상쌍구,경기도 안산시 상록구 건건동 665,126.9047116,37.3057023,2026-01-12
6,소화전,사동,사동,2024-09-10,지상쌍구,경기도 안산시 상록구 사동 1351-1,126.8455797,37.293967,2026-01-12
7,소화전,사이동,사동,2024-09-10,지상쌍구,경기도 안산시 상록구 사동 1346,126.8534914,37.2876554,2026-01-12
8,소화전,선부2동,선부동,2024-09-10,지상쌍구,경기도 안산시 단원구 선부동 989-9,126.7961278,37.3404105,2026-01-12
9,소화전,선부2동,선부동,2024-09-10,지상쌍구,경기도 안산시 단원구 선부동 980-5,126.7957094,37.3390546,2026-01-12
10,소화전,신길동,신길동,2024-09-10,지상쌍구,경기도 안산시 단원구 신길동 1374,126.7667202,37.3347823,2026-01-12
11,소화전,신길동,신길동,2024-09-10,지상쌍구,경기도 안산시 단원구 신길동 1375,126.7796165,37.3327986,2026-01-12
12,소화전,고잔동,고잔동,2024-09-10,지상쌍구,경기도 안산시 단원구 고잔동 669-15,126.8223855,37.3239962,2026-01-12
13,소화전,초지동,성곡동,2024-09-10,지상쌍구,경기도 안산시 단원구 성곡동 591,126.7692652,37.3226536,2026-01-12
14,소화전,초지동,초지동,2024-09-10,지상쌍구,경기도 안산시 단원구 초지동 647-2,126.7927566,37.3021352,2026-01-12
15,소화전,초지동,초지동,2024-09-10,지상쌍구,경기도 안산시 단원구 초지동 748,126.8151024,37.3085424,2026-01-12
